date,station_id,station_name,day_of_week,week_of_year,month,quarter,season,is_weekend,is_holiday,holiday_name,temperature,weather_condition,precipitation_mm,price_AI92,price_AI95,price_DT,price_DT_bio,price_AI100_bio,competitor_price_AI92,competitor_price_AI95,competitor_price_DT,competitor_price_AI92_brend,competitor_price_AI95_brend,competitor_price_DT_brend,competitor_price_AI100,sales_AI92,sales_AI95,sales_DT,sales_DT_bio,sales_AI100_bio,total_fuel_sales,promotion_fuel_active,promotion_shop_active,promotion_cafe_active,corporate_customer_ratio,customer_loyalty_score,shop_напитки_безалкогольные,shop_кондитерка_снеки,shop_мороженое,shop_автотовары,shop_кафе_вся_еда,shop_кофе_все_горячие_напитки,shop_табак,traffic_Passengers_cars_1_poputn,traffic_Passengers_cars_2_poputn,traffic_Truck_short_1_poputn,traffic_Truck_short_2_poputn,traffic_Truck_1_poputn,traffic_Truck_2_poputn,traffic_Truck_long_1_poputn,traffic_Truck_long_2_poputn,traffic_Transporter_1_poputn,traffic_Transporter_2_poputn,traffic_scorost_1_poputn,traffic_scorost_2_poputn,traffic_plotnost_1_poputn,traffic_plotnost_2_poputn,traffic_intensiv_priv_1_poputn,traffic_intensiv_priv_2_poputn,traffic_intensiv_fiz_1_poputn,traffic_intensiv_fiz_2_poputn,traffic_uroven_jbslugi_1_poputn,traffic_uroven_jbslugi_2_poputn,traffic_Passengers_cars_1_wstrechn,traffic_Passengers_cars_2_wstrechn,traffic_Truck_short_1_wstrechn,traffic_Truck_short_2_wstrechn,traffic_Truck_1_wstrechn,traffic_Truck_2_wstrechn,traffic_Truck_long_1_wstrechn,traffic_Truck_long_2_wstrechn,traffic_Transporter_1_wstrechn,traffic_Transporter_2_wstrechn,traffic_scorost_1_wstrechn,traffic_scorost_2_wstrechn,traffic_plotnost_1_wstrechn,traffic_plotnost_2_wstrechn,traffic_intensiv_priv_1_wstrechn,traffic_intensiv_priv_2_wstrechn,traffic_intensiv_fiz_1_wstrechn,traffic_intensiv_fiz_2_wstrechn,traffic_uroven_jbslugi_1_wstrechn,traffic_uroven_jbslugi_2_wstrechn,traffic_Undefined_1_poputn,traffic_Undefined_2_poputn,traffic_Undefined_1_wstrechn,traffic_Undefined_2_wstrechn
2025-01-11,Запад-МФ-69172,АЗС 172,5,2,1,1,winter,1,0,,-7.8,0,0.0,63.22,66.09,76.43,78.93,94.11,62.93,65.79,76.08,0,0,0,0,4958,4285,5781,701,1015,16740,0,0,0,0.7576,0.8091,8158.81,6527.04,815.88,5874.34,9790.57,13054.09,16317.61,989,8903,103,934,173,1557,51,467,17,155,71.0,71.0,1.76,15.81,12.49,112.4,11.62,104.62,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-12,Запад-МФ-69172,АЗС 172,6,2,1,1,winter,1,0,,-5.9,0,0.0,63.23,66.1,76.45,78.95,94.13,63.42,66.3,76.68,0,0,0,0,5646,5465,6238,872,1466,19687,0,0,0,0.6498,0.7397,6736.01,5388.8,673.6,4849.92,8083.21,10777.61,13472.01,941,8474,98,889,164,1482,49,444,16,148,68.7,68.7,1.73,15.55,11.89,106.97,11.06,99.57,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-13,Запад-МФ-69172,АЗС 172,0,3,1,1,winter,0,0,,-8.9,0,0.0,62.68,65.89,77.66,79.07,94.67,61.88,65.05,76.67,0,0,0,0,6827,5985,7222,817,1730,22581,0,0,0,0.7064,0.6469,14128.78,11303.03,1412.88,10172.72,16954.54,22606.06,28257.57,1263,11372,189,1705,315,2843,94,852,31,284,64.1,64.1,2.71,24.35,17.38,156.38,15.79,142.16,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-14,Запад-МФ-69172,АЗС 172,1,3,1,1,winter,0,0,,-9.0,0,0.0,62.7,65.91,77.67,79.09,94.69,61.69,64.85,76.42,0,0,0,0,5203,6537,6568,404,999,19711,0,0,0,0.8227,0.7905,8042.35,6433.88,804.23,5790.49,9650.82,12867.76,16084.7,1058,9525,158,1428,264,2381,79,714,26,238,69.1,69.1,2.1,18.93,14.55,130.98,13.23,119.07,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-15,Запад-МФ-69172,АЗС 172,2,3,1,1,winter,0,0,,-10.4,0,0.0,62.71,65.92,77.69,79.1,94.71,62.42,65.61,77.33,0,0,0,0,5849,5525,7720,801,57,19952,0,0,0,0.684,0.6587,9847.1,7877.68,984.71,7089.91,11816.52,15755.36,19694.2,1061,9551,159,1432,265,2387,79,716,26,238,66.6,66.6,2.19,19.69,14.59,131.34,13.27,119.39,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-16,Запад-МФ-69172,АЗС 172,3,3,1,1,winter,0,0,,-11.5,0,0.0,62.72,65.94,77.71,79.12,94.73,62.85,66.08,77.87,0,0,0,0,6508,6261,7441,873,769,21852,0,0,0,0.8065,0.7022,7603.33,6082.66,760.33,5474.4,9124.0,12165.33,15206.66,956,8608,143,1290,239,2151,71,645,23,215,65.1,65.1,2.02,18.15,13.15,118.36,11.96,107.6,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-17,Запад-МФ-69172,АЗС 172,4,3,1,1,winter,0,0,,-5.3,0,0.0,62.46,65.96,78.45,78.72,95.65,62.31,65.8,78.26,0,0,0,0,5766,6732,8314,384,901,22097,0,0,0,0.6409,0.6173,7078.11,5662.49,707.81,5096.24,8493.73,11324.98,14156.22,1107,9963,165,1494,276,2490,82,747,27,249,61.8,61.8,2.46,22.13,15.22,137.0,13.84,124.54,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-18,Запад-МФ-69172,АЗС 172,5,3,1,1,winter,1,0,,-4.7,0,0.0,62.48,65.97,78.47,78.74,95.67,62.86,66.37,78.95,0,0,0,0,5355,5098,6957,936,755,19101,0,0,0,0.6504,0.7273,9437.89,7550.31,943.79,6795.28,11325.47,15100.63,18875.78,1042,9383,109,984,182,1641,54,492,18,164,64.9,64.9,2.02,18.23,13.16,118.46,12.25,110.25,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-19,Запад-МФ-69172,АЗС 172,6,3,1,1,winter,1,0,,-10.0,0,0.0,63.28,66.5,78.87,78.83,94.31,62.75,65.94,78.2,0,0,0,0,5102,5120,6426,653,2047,19348,0,0,0,0.693,0.6832,10116.78,8093.42,1011.68,7284.08,12140.14,16186.85,20233.56,886,7977,93,837,155,1395,46,418,15,139,71.5,71.5,1.56,14.07,11.19,100.72,10.42,93.74,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20,Запад-МФ-69172,АЗС 172,0,4,1,1,winter,0,0,,-10.5,0,0.0,63.3,66.51,78.89,78.85,94.33,62.44,65.61,77.82,0,0,0,0,6278,5994,7762,1120,1515,22669,0,0,0,0.6328,0.891,7010.07,5608.05,701.01,5047.25,8412.08,11216.11,14020.13,824,7424,123,1113,206,1855,61,556,20,185,70.8,70.8,1.6,14.4,11.34,102.08,10.31,92.8,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-21,Запад-МФ-69172,АЗС 172,1,4,1,1,winter,0,0,,-9.2,0,0.0,63.31,66.53,78.9,78.86,94.35,63.49,66.72,79.12,0,0,0,0,6156,5687,8511,930,956,22240,0,0,0,0.4538,0.6341,11895.21,9516.17,1189.52,8564.55,14274.25,19032.33,23790.42,1008,9080,151,1361,252,2269,75,680,25,226,64.8,64.8,2.14,19.23,13.87,124.85,12.61,113.5,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-22,Запад-МФ-69172,АЗС 172,2,4,1,1,winter,0,0,,-9.3,0,0.0,63.33,66.54,78.92,78.88,94.37,64.63,67.9,80.54,0,0,0,0,6636,5628,6337,582,1984,21167,0,0,1,0.8042,0.8712,11985.24,9588.19,1198.52,8629.37,17258.75,19176.39,23970.48,1037,9335,155,1399,259,2333,77,699,25,233,68.0,68.0,2.09,18.85,14.26,128.36,12.97,116.69,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-23,Запад-МФ-69172,АЗС 172,3,4,1,1,winter,0,0,,-9.4,0,0.0,63.34,66.56,78.94,78.9,94.39,61.96,65.12,77.23,0,0,0,0,5954,5922,6914,346,1123,20259,0,0,0,0.7636,0.869,11155.48,8924.39,1115.55,8031.95,13386.58,17848.77,22310.96,1120,10080,168,1512,280,2520,84,756,28,252,63.3,63.3,2.43,21.86,15.4,138.61,14.0,126.01,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-24,Запад-МФ-69172,АЗС 172,4,4,1,1,winter,0,0,,-3.8,0,0.0,63.15,66.03,78.51,77.78,94.23,63.19,66.07,78.56,0,0,0,0,6201,5973,8481,1064,805,22524,0,0,0,0.8134,0.7388,9157.27,7325.82,915.73,6593.24,10988.73,14651.64,18314.55,787,7083,117,1062,196,1770,58,531,19,177,70.2,70.2,1.54,13.85,10.82,97.4,9.84,88.54,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-25,Запад-МФ-69172,АЗС 172,5,4,1,1,winter,1,0,,-13.0,0,0.0,63.16,66.04,78.53,77.8,94.25,62.55,65.4,77.77,0,0,0,0,3762,4216,5335,503,920,14736,0,0,0,0.6666,0.6261,12331.62,9865.3,1233.16,8878.77,14797.95,19730.6,24663.25,925,8326,96,874,161,1457,48,437,16,145,74.2,74.2,1.57,14.15,11.68,105.13,10.87,97.84,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-26,Запад-МФ-69172,АЗС 172,6,4,1,1,winter,1,0,,-7.0,0,0.0,63.18,66.06,78.55,77.82,94.28,62.93,65.8,78.25,0,0,0,0,4482,3837,6888,694,1036,16937,0,0,0,0.6798,0.652,5381.27,4305.02,538.13,3874.51,6457.52,8610.03,10762.54,856,7709,89,809,149,1349,44,404,14,134,75.5,75.5,1.43,12.87,10.81,97.33,10.07,90.59,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-27,Запад-МФ-69172,АЗС 172,0,5,1,1,winter,0,0,,-7.9,0,0.0,63.44,66.01,78.75,78.05,93.61,63.1,65.66,78.33,0,0,0,0,7258,6442,8042,620,817,23179,0,0,0,0.7543,0.6463,11300.05,9040.04,1130.01,8136.04,13560.06,18080.08,22600.11,1073,9664,160,1449,268,2415,80,724,26,241,64.1,64.1,2.3,20.7,14.76,132.88,13.42,120.8,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-28,Запад-МФ-69172,АЗС 172,1,5,1,1,winter,0,0,,-1.6,0,0.8,62.43,66.69,78.31,78.72,92.58,62.76,67.04,78.72,0,0,0,0,5773,6104,7344,816,827,20864,0,0,0,0.5492,0.8386,9915.42,7932.33,991.54,7139.1,11898.5,15864.67,19830.84,1167,10503,174,1575,291,2625,87,787,29,262,53.6,53.6,2.99,26.89,16.05,144.41,14.59,131.28,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-29,Запад-МФ-69172,АЗС 172,2,5,1,1,winter,0,0,,-11.3,0,0.0,62.44,66.71,78.33,78.73,92.6,62.62,66.9,78.56,0,0,0,0,5762,6138,6798,264,558,19520,0,0,0,0.5719,0.7631,11501.66,9201.33,1150.17,8281.19,13801.99,18402.65,23003.32,1231,11084,184,1662,307,2771,92,831,30,277,62.1,62.1,2.72,24.51,16.93,152.41,15.39,138.56,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-30,Запад-МФ-69172,АЗС 172,3,5,1,1,winter,0,0,,-7.7,0,0.0,62.46,66.72,78.35,78.75,92.62,61.54,65.73,77.19,0,0,0,0,5800,5920,9241,974,1285,23220,0,0,0,0.6951,0.8464,10076.89,8061.51,1007.69,7255.36,12092.27,16123.03,20153.78,1136,10229,170,1533,284,2556,85,766,28,255,62.9,62.9,2.48,22.33,15.63,140.65,14.21,127.86,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-31,Запад-МФ-69172,АЗС 172,4,5,1,1,winter,0,0,,-12.9,0,0.0,62.94,66.12,79.05,79.83,93.02,64.12,67.36,80.53,0,0,0,0,4857,6248,7646,751,1273,20775,0,0,1,0.5929,0.8767,10203.26,8162.61,1020.33,7346.35,14692.7,16325.22,20406.53,941,8469,141,1269,235,2116,70,634,23,211,62.6,62.6,2.06,18.57,12.94,116.44,11.76,105.86,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01,Запад-МФ-69172,АЗС 172,5,5,2,1,winter,1,0,,-11.4,0,0.0,62.96,66.14,79.06,79.85,93.04,63.26,66.45,79.43,0,0,0,0,4550,4588,6101,810,146,16195,0,0,0,0.7817,0.876,7539.63,6031.7,753.96,5428.53,9047.55,12063.4,15079.25,1064,9577,111,1005,186,1675,55,502,18,167,64.1,64.1,2.09,18.84,13.44,120.91,12.5,112.54,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-02,Запад-МФ-69172,АЗС 172,6,5,2,1,winter,1,0,,-12.9,0,0.0,62.97,66.15,79.08,79.87,93.06,62.15,65.29,78.06,0,0,0,0,4868,4466,4051,398,834,14617,0,0,1,0.7157,0.8991,7404.49,5923.59,740.45,5331.23,10662.46,11847.18,14808.98,894,8046,93,844,156,1407,46,422,15,140,64.4,64.4,1.75,15.75,11.29,101.58,10.51,94.55,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-03,Запад-МФ-69172,АЗС 172,0,6,2,1,winter,0,0,,-1.3,0,2.8,62.98,66.16,79.1,79.89,93.08,63.02,66.2,79.15,0,0,0,0,7872,5123,8767,177,0,21939,0,0,0,0.6134,0.7932,10421.21,8336.97,1042.12,7503.27,12505.45,16673.94,20842.42,1008,9073,151,1360,252,2268,75,680,25,226,65.6,65.6,2.11,18.99,13.86,124.76,12.6,113.42,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-04,Запад-МФ-69172,АЗС 172,1,6,2,1,winter,0,0,,-10.1,0,0.0,63.0,66.18,79.12,79.9,93.1,62.96,66.13,79.06,0,0,0,0,5555,5097,7256,697,1412,20017,0,0,0,0.5843,0.8004,10040.94,8032.75,1004.09,7229.48,12049.13,16065.51,20081.89,1010,9097,151,1364,252,2274,75,682,25,227,65.1,65.1,2.13,19.19,13.9,125.09,12.63,113.72,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-05,Запад-МФ-69172,АЗС 172,2,6,2,1,winter,0,0,,-11.0,0,0.0,62.42,65.09,80.53,78.93,92.36,63.24,65.95,81.59,0,0,0,0,5135,6187,5307,251,822,17702,0,0,0,0.5616,0.7276,11256.28,9005.02,1125.63,8104.52,13507.53,18010.04,22512.55,841,7569,126,1134,210,1891,63,567,21,189,71.8,71.8,1.61,14.47,11.56,104.08,10.51,94.62,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-06,Запад-МФ-69172,АЗС 172,3,6,2,1,winter,0,0,,-7.0,0,0.0,61.63,65.17,79.23,79.38,94.23,62.07,65.64,79.8,0,0,0,0,7118,6521,6465,745,1066,21915,0,0,0,0.725,0.6736,9693.74,7754.99,969.37,6979.49,11632.49,15509.99,19387.48,972,8748,145,1312,243,2187,72,656,24,218,67.7,67.7,1.97,17.74,13.37,120.29,12.15,109.36,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-07,Запад-МФ-69172,АЗС 172,4,6,2,1,winter,0,0,,-13.6,0,0.0,61.64,65.18,79.25,79.4,94.25,61.15,64.66,78.62,0,0,0,0,7119,5256,7152,753,1452,21732,0,0,0,0.6178,0.8185,10491.56,8393.25,1049.16,7553.92,12589.87,16786.5,20983.12,1078,9706,161,1455,269,2426,80,727,26,242,57.8,57.8,2.56,23.05,14.83,133.46,13.48,121.33,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-08,Запад-МФ-69172,АЗС 172,5,6,2,1,winter,1,0,,-3.1,0,0.0,61.66,65.2,79.27,79.42,94.27,61.63,65.17,79.23,0,0,0,0,4729,5335,5020,674,341,16099,0,0,0,0.532,0.6749,10847.91,8678.33,1084.79,7810.5,13017.5,17356.66,21695.83,963,8674,100,910,168,1517,50,455,16,151,69.9,69.9,1.74,15.64,12.17,109.5,11.32,101.92,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-09,Запад-МФ-69172,АЗС 172,6,6,2,1,winter,1,0,,-13.6,0,0.0,61.67,65.21,79.29,79.43,94.29,61.63,65.17,79.24,0,0,0,0,5239,4516,6834,666,727,17982,0,0,0,0.771,0.6196,11386.91,9109.53,1138.69,8198.57,13664.29,18219.05,22773.81,993,8937,103,937,173,1563,51,468,17,156,67.9,67.9,1.84,16.6,12.54,112.82,11.67,105.01,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-10,Запад-МФ-69172,АЗС 172,0,7,2,1,winter,0,0,,-7.8,0,0.0,61.68,65.22,79.3,79.45,94.32,60.49,63.96,77.77,0,0,0,0,5248,5908,7903,801,1847,21707,0,0,0,0.774,0.6716,7597.39,6077.91,759.74,5470.12,9116.87,12155.83,15194.78,1108,9976,166,1495,277,2493,83,747,27,249,63.5,63.5,2.4,21.56,15.24,137.17,13.86,124.7,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,Запад-МФ-69172,АЗС 172,1,7,2,1,winter,0,0,,-9.9,0,0.0,61.7,65.24,79.32,79.47,94.34,61.2,64.71,78.68,0,0,0,0,5367,5907,7069,531,2447,21321,0,0,0,0.514,0.6692,10412.28,8329.83,1041.23,7496.84,12494.74,16659.65,20824.57,822,7404,123,1110,205,1850,61,555,20,185,65.4,65.4,1.73,15.54,11.31,101.8,10.28,92.55,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-12,Запад-МФ-69172,АЗС 172,2,7,2,1,winter,0,0,,-10.6,0,0.0,61.71,65.25,79.34,79.49,94.36,61.34,64.86,78.86,0,0,0,0,5768,4865,7876,1035,1327,20871,0,0,0,0.7218,0.6797,9627.17,7701.73,962.72,6931.56,11552.6,15403.47,19254.34,969,8724,145,1308,242,2180,72,654,24,218,65.5,65.5,2.03,18.29,13.33,119.95,12.12,109.05,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-13,Запад-МФ-69172,АЗС 172,3,7,2,1,winter,0,0,,-7.4,0,0.0,62.39,64.13,78.36,80.21,93.48,61.87,63.59,77.7,0,0,0,0,5428,3641,6525,888,1344,17826,0,0,0,0.7185,0.8552,10321.68,8257.35,1032.17,7431.61,12386.02,16514.69,20643.36,1019,9171,152,1375,254,2292,76,687,25,229,67.0,67.0,2.09,18.79,14.01,126.11,12.74,114.64,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
